y1,y2,y3,y4,gen,race,income
0,10,40,0,0,1,52.7616380273965
50,75,50,50,0,1,51.870920967156
25,0,1,0,1,0,47.5918704678667
100,100,100,100,1,1,40.2888710834057
75,20,40,40,1,1,43.9725446303234
0,0,0,30,0,1,42.0338769193494
100,0,100,100,1,1,52.047017089931
0,0,99,0,0,1,47.68624492067
0,0,0,0,1,1,41.5883891174685
75,25,70,50,0,0,55.851379205153
100,0,75,50,0,0,49.3285618014008
100,0,0,0,1,1,51.461508735459
100,100,50,50,0,1,50.354707922177
99,0,2,0,1,1,50.037044566897
3,30,30,100,0,1,46.6570939766472
0,0,90,75,1,0,52.5881059937485
100,0,0,0,0,0,55.0300546818615
99,100,99,100,1,0,47.6666441017391
0,0,100,0,0,1,52.840605221792
100,90,90,95,1,0,46.7368803621103
50,100,100,95,1,1,46.3851077682026
90,95,80,100,1,0,52.554240683933
90,100,90,85,0,0,51.5639550581885
90,75,70,50,1,0,50.9785857138015
0,0,0,40,1,0,48.7158550431527
45,50,45,70,0,0,52.752658006303
50,50,0,0,0,1,50.3526108629325
0,0,0,100,1,0,48.2421786213589
96,99,99,99,0,1,52.1169487967675
100,100,65,15,1,0,45.3110646685274
70,0,50,100,0,0,48.3483324211716
50,100,50,0,1,1,48.7210773502053
99,0,100,100,1,1,50.498916972542
2,0,99,10,0,1,45.7190429385789
80,0,40,25,0,0,49.850388974341
90,100,100,85,0,0,51.7632594421055
95,70,85,90,1,0,50.226313433703
0,100,0,0,0,0,50.412617880846
0,90,0,100,1,0,52.3483111738995
100,100,100,100,1,0,52.4200760575615
100,0,99,0,1,0,46.8985433059263
100,100,100,0,0,0,51.406013895085
60,100,100,80,1,0,52.5948421223105
0,0,20,50,1,0,48.6775557738047
95,80,10,10,0,1,46.1853731637158
100,100,20,100,0,1,49.6513067645736
90,50,0,30,1,1,53.344819974651
50,80,90,90,0,1,54.008481881619
100,98,90,99,1,1,51.41057245157
0,0,0,0,1,1,52.4266246046845
75,75,50,0,0,1,52.0698144543415
0,0,100,100,1,1,52.166689190788
25,0,50,99,0,1,47.4719508640274
100,99,99,90,0,1,45.8174130621627
0,95,0,0,0,0,48.8084307255718
99,70,80,78,1,0,49.3104168432018
75,50,10,0,0,1,52.97262176384
45,30,25,100,0,1,46.8436104738508
75,99,0,80,1,0,50.013783894117
100,99,100,100,0,0,53.4927889156715
100,0,100,50,1,1,46.0200612641123
1,0,0,0,0,0,49.9222371261317
0,75,90,90,1,0,49.3469841382111
99,75,0,0,0,1,51.076283283845
0,15,0,50,0,1,49.4635881214846
0,0,100,0,0,1,46.7320725789088
50,50,50,0,0,1,51.8242947378095
75,75,50,55,1,1,46.3061696307912
100,99,100,100,1,0,53.3378357562245
100,99,99,97,1,1,50.819102825455
100,100,0,0,1,0,44.2944729156381
100,100,100,95,1,0,51.1714764537065
50,0,0,100,1,1,49.8675109935517
0,0,100,0,0,1,44.7278585167666
0,100,0,0,1,1,43.6562617255027
75,90,90,80,0,1,50.3299206687955
50,100,100,90,1,0,48.6961303286853
70,0,0,0,0,0,51.567720002284
100,50,100,100,1,0,48.3641368772482
80,100,80,50,0,1,53.84652113864
0,50,50,50,1,1,46.6014494666334
0,0,0,0,0,0,52.356774887882
0,75,55,60,1,0,52.4893467656605
99,70,0,60,0,0,50.099347158417
0,90,0,100,0,0,49.2052379938306
50,0,100,50,0,1,43.2230668950336
100,99,100,100,0,1,46.8455273981183
0,0,1,0,0,1,44.6274621020695
0,0,0,0,0,1,48.0795328463192
75,50,0,100,0,0,49.6497393583901
1,39,99,100,0,1,43.1914676954129
50,0,95,100,1,0,53.84350002449
0,80,50,50,1,0,50.5050659398035
100,50,50,50,0,1,50.9930509801145
98,50,0,35,1,0,44.9298381465476
5,50,25,50,1,0,48.8149428682588
75,100,80,0,1,1,42.7433458226792
100,100,100,20,1,1,47.9382730674911
50,100,0,100,0,1,48.8039241313006
50,0,90,20,1,1,48.9818073685118
100,0,0,0,0,0,53.542424441541
0,0,90,50,0,0,50.0168322500785
15,100,80,50,0,1,49.9895605563637
2,100,80,75,0,0,50.8746661246045
20,90,0,0,1,1,46.4848750820009
100,99,0,85,0,0,53.2336354872235
100,75,95,99,1,0,44.474064863537
100,50,50,0,0,0,53.143563330047
0,50,50,50,1,0,50.2704113283045
75,75,50,100,1,0,48.7780310009869
3,0,0,0,1,0,48.5686337846869
25,45,0,100,1,0,48.1214422465123
50,90,100,100,1,1,52.3109720730085
99,100,100,100,1,1,47.7340197478885
0,100,100,0,0,1,52.2478868696935
80,80,0,0,1,1,49.9489665533731
1,0,100,100,1,1,50.065665276171
0,100,9,0,0,1,51.11967861766
86,70,75,25,1,0,50.2048358636135
100,90,90,90,1,0,41.4227557521986
75,90,95,90,1,0,52.583500041174
90,90,80,95,0,0,51.6669208906105
80,95,0,0,1,0,46.1328775509026
100,15,50,0,1,0,48.6179462494699
90,90,85,90,1,0,54.700969755451
1,100,100,100,0,0,50.72951123147
100,0,0,0,1,0,50.7878696439285
0,0,90,0,0,0,51.503486057817
50,100,99,100,1,0,52.1599984533025
75,75,65,75,1,0,49.8504341465938
0,100,100,100,0,0,49.5246313188666
100,100,100,100,1,0,50.3805463196355
75,0,50,100,0,0,46.9144581350412
90,99,65,75,0,0,49.813519017186
80,75,75,50,0,0,55.038359767408
0,0,0,20,1,0,50.0957364791155
5,10,10,25,0,0,50.908933022421
1,5,99,21,0,0,44.8826602668246
30,90,75,50,1,0,50.502945680429
80,40,50,100,0,0,48.1398210026335
50,99,75,100,0,0,46.9832419488691
75,90,90,100,0,0,54.1598129804175
0,0,0,0,1,0,46.9909122474839
95,50,95,85,1,0,50.5995630288795
10,50,100,5,0,1,50.5661920114965
100,60,75,90,0,0,52.4826012368685
95,100,100,100,1,0,52.916781281433
90,0,50,80,0,0,47.9074656398114
75,100,0,40,0,0,47.9045663654891
50,85,75,45,0,0,50.99366430886
5,40,0,70,0,0,39.642492895543
4,100,4,100,0,0,45.2571930914792
100,100,100,0,0,1,43.6763533558559
0,90,90,98,0,1,46.0607405363592
0,0,99,99,0,1,45.6247235262574
100,100,100,100,0,1,43.8046983760298
30,40,0,0,0,0,44.7719408041217
90,100,0,100,1,1,54.791167572232
0,0,99,100,1,1,50.091680635369
50,0,0,0,0,1,51.8308371983405
50,20,100,40,0,1,51.57849764172
100,90,95,98,0,1,51.197880136689
90,100,100,100,1,1,47.5758981185476
75,0,75,75,1,1,49.6022864385225
0,0,0,50,1,1,50.444134926401
50,0,100,0,1,1,49.2126942485419
10,90,0,20,1,1,49.4920979271257
75,50,50,80,0,1,50.2737639763585
10,0,0,0,1,1,50.6873303186
20,35,30,20,0,1,51.0585299098545
0,100,0,0,1,1,45.4822740713211
0,100,100,100,0,1,52.776619048385
10,0,5,99,1,1,49.5745312839534
70,90,20,50,1,0,50.2061039454545
50,50,0,50,0,1,53.8360338068805
0,0,50,0,1,1,45.1320063291474
65,75,50,50,0,1,49.3817086441836
100,99,50,90,0,0,54.274561625473
100,20,100,100,0,1,47.2611573798325
100,1,0,0,0,1,47.2868458282944
5,50,100,0,0,1,54.5083038005055
100,0,100,50,1,1,44.631626086584
100,100,100,100,1,1,42.3214996386405
0,0,0,20,1,0,48.7940430246512
50,0,50,75,0,1,48.96511723856
80,99,100,100,0,1,37.6092849239893
90,30,100,95,0,1,51.236014635216
0,100,100,100,0,0,47.9194563125194
50,80,0,99,0,0,48.8781463474452
100,100,80,25,0,1,50.7384492903935
75,100,99,50,1,1,52.877692978523
65,20,50,0,0,0,43.5628148648142
100,50,85,99,1,0,49.3398218011069
0,45,30,1,1,1,40.160558324249
100,0,50,90,0,0,51.801460125423
75,0,10,60,0,0,48.7910056669398
99,100,80,75,1,0,48.5312433769
0,10,100,50,1,1,44.0296153808008
100,100,1,100,0,1,50.2591947748315
0,0,50,50,1,1,49.3737911710511
0,50,0,50,1,1,38.705507661783
0,0,100,0,0,1,46.093026497846
0,0,89,100,0,1,49.3692311124137
80,90,99,90,1,0,52.602578717821
50,75,50,50,1,0,50.503951025516
70,50,50,70,0,0,49.1658027037639
80,75,90,50,0,0,51.363698421036
0,99,100,100,0,0,50.440898471921
0,50,1,0,1,1,49.5799623259342
75,90,95,100,1,0,51.407032968658
51,100,0,0,1,1,42.0338359950533
0,2,60,100,1,1,50.8481679396515
0,0,50,0,0,0,51.8957822036795
90,0,100,100,1,1,41.7681726973331
0,100,100,10,0,1,55.38083885332
95,0,90,0,1,1,50.594946711321
60,70,100,30,0,0,49.8226226434953
99,100,100,100,1,1,42.8188560154794
90,95,40,90,0,1,48.8996798608287
99,0,6,100,1,1,46.0170438572937
30,25,0,0,0,1,44.7314434157806
0,60,99,30,0,1,48.9669565360354
0,0,100,0,1,1,43.9200130560412
0,0,0,10,0,1,38.432904693553
0,0,0,0,1,1,44.2694716440065
50,99,100,56,0,1,52.439148638711
50,30,0,20,1,1,40.5648022450271
0,0,0,2,1,1,44.9351037887223
90,100,50,25,1,1,50.789858998789
100,100,100,100,0,1,49.5382297199535
100,50,100,100,0,1,47.4989953390849
90,70,30,50,0,1,47.7106786118013
0,100,40,99,0,1,49.9412301662998
90,80,99,98,0,1,52.592144024913
99,100,100,100,1,1,45.8241466695427
0,0,100,100,1,1,43.771018002829
0,100,100,100,1,1,39.5985115318987
0,0,0,0,1,1,44.59357309643
100,50,50,50,0,1,43.6491663925569
99,99,0,0,1,1,51.8038349360815
100,100,100,100,1,1,46.2317583460021
85,60,2,40,0,1,50.079113708726
80,80,50,50,1,1,44.6683047974997
0,0,0,0,1,1,49.7033481178006
50,0,0,0,1,1,37.3499071841898
0,0,100,0,1,1,44.9812927268128
0,50,100,50,0,1,49.7675372918122
0,0,0,0,1,1,50.150988680173
0,0,0,0,1,1,47.1831988158897
50,3,10,100,0,1,50.1159721342555
75,100,0,100,0,1,49.796680252358
95,0,99,65,1,1,44.0338675630079
99,99,90,100,1,0,48.9917543414352
0,0,0,0,1,1,47.2539794810729
0,0,100,0,1,1,49.1328562162269
50,75,75,100,0,1,47.8946415574621
0,0,0,0,0,1,52.9173029723425
90,90,70,40,0,1,53.028680890652
100,100,100,0,1,1,47.0592555344717
90,95,90,0,1,0,51.6445349142125
100,100,90,5,0,0,52.26408154681
0,0,100,90,1,0,48.5311382077445
75,75,25,75,1,0,50.55921097774
75,76,70,80,0,1,49.265900763879
95,100,100,40,1,0,44.941834250679
100,0,99,95,0,1,51.3311696049405
100,100,100,0,1,1,50.181831703474
75,100,99,90,1,0,52.3178617185745
50,90,80,75,0,0,47.4052987360361
99,0,100,100,1,0,47.9309991399993
2,20,0,0,0,1,45.758804351553
80,25,50,75,0,0,43.3961002821924
100,100,80,90,1,0,47.2295855602183
90,100,50,100,0,1,48.6259375282497
99,100,99,100,1,1,48.8067519091052
80,99,1,1,0,1,48.7206359343493
0,6,5,50,0,1,47.4701427199628
0,50,50,95,1,1,47.4909093658707
95,100,100,100,0,1,49.4945283062533
80,75,99,50,0,1,47.0767986763771
10,90,70,80,0,1,48.5894820661379
100,95,100,50,0,1,48.516287402002
100,100,50,10,1,0,42.5624989393162
50,50,50,60,0,1,53.5689964198445
90,75,50,10,0,1,47.9096466010277
50,5,0,0,0,1,45.9150665169953
75,90,100,99,0,0,41.2703042370164
0,0,0,100,1,0,51.3441908216515
0,0,0,0,1,1,49.725868880646
1,0,0,50,1,0,51.788836962892
75,100,0,50,1,1,51.301428074768
75,0,0,0,1,0,55.7619391780055
3,5,45,25,0,1,52.3430623040015
1,0,0,0,1,0,50.3269137404895
80,99,100,100,1,1,49.5130971372903
0,50,100,100,1,1,51.136731402852
100,100,80,50,0,1,47.704530429697
95,99,100,70,0,0,51.7011542594675
100,100,100,100,0,1,46.978899420199
10,50,0,10,0,0,51.577283126842
100,0,60,75,0,0,57.2063795207845
25,20,0,20,1,0,42.080507184109
85,10,90,90,0,0,43.0961174982412
50,100,75,75,0,0,48.2600244278857
80,100,100,97,0,0,48.1758792805486
100,100,70,99,1,0,37.9034266763632
100,100,100,100,1,1,46.5276240546194
95,98,90,95,0,0,52.6596564872
100,99,100,100,1,0,43.6124366705053
100,100,99,99,1,0,42.7393775490391
10,40,50,50,0,0,50.695675368135
100,90,90,0,1,1,47.6345947985393
0,0,0,0,0,0,33.8887196292858
99,99,100,75,0,0,52.9954361936195
100,80,80,80,0,1,51.912873588879
100,100,100,0,1,1,48.0996868690271
100,10,30,50,0,0,50.346014106778
100,100,50,100,0,0,50.6668242486395
99,0,100,100,0,0,52.207459259807
99,100,100,100,0,0,48.0474558258856
100,100,100,100,1,1,43.835044742462
100,100,99,0,1,1,38.2600689785699
75,50,100,0,0,0,51.023800689014
100,100,0,100,0,0,51.9310725787445
99,0,99,100,0,0,49.078300793103
96,100,100,100,1,0,50.8051658170795
100,0,68,0,0,0,50.563616180017
90,60,100,100,0,0,51.6982161341025
100,100,0,0,1,0,47.405089210127
95,95,69,95,1,0,51.5314815452145
100,100,100,100,1,0,47.9442706310375
80,100,100,100,1,0,51.123247260454
89,100,100,75,0,1,48.3906297773235
100,100,100,99,1,1,50.9203763087405
0,1,100,0,0,0,52.100962408134
100,99,100,100,0,0,52.070355983572
89,99,99,100,0,0,44.8005345042658
50,100,50,50,1,1,35.1899192502901
0,0,0,0,1,1,50.8719884506695
100,100,90,100,1,1,42.7554418577083
0,90,0,0,1,1,49.6750132109962
75,80,99,100,0,1,53.6007277706875
90,100,100,100,1,1,51.8512624919705
0,25,50,0,0,1,49.2222972260058
100,100,100,10,0,1,52.804330178281
0,0,0,0,1,1,48.417266502191
0,21,50,50,1,1,47.2972674342311
0,50,98,100,0,0,44.8647538798163
80,50,80,100,1,0,48.422395042314
90,100,100,100,0,0,50.2647194498305
99,98,99,100,1,0,51.8687770875775
50,100,0,100,1,0,46.0307545321335
99,95,99,99,0,0,48.3359104295546
95,0,80,80,0,0,48.3344431863981
0,0,0,0,0,0,48.6928903453668
100,100,100,0,1,1,52.1452348070775
89,90,99,99,0,1,44.270919597695
90,100,100,100,1,1,47.3377634508918
90,0,0,0,0,1,51.603395768102
100,0,0,0,0,1,50.833660145206
0,0,0,100,1,1,49.5404156656123
100,30,100,12,0,1,48.0587782212008
100,0,10,0,0,1,51.685656078653
0,1,100,0,1,1,47.1183360752745
75,80,99,99,0,0,48.3311214412224
95,75,100,95,0,0,52.3269458816845
100,0,100,50,0,0,52.060073313909
75,0,0,78,1,0,53.0114785406075
85,80,75,75,1,0,52.717306862987
80,0,100,100,1,0,52.4116013228335
100,100,99,50,1,0,47.0551758845912
100,0,90,0,0,0,52.052730252096
100,99,99,100,0,0,49.1361771360735
98,50,75,25,1,0,49.8102500740516
75,50,99,75,0,0,53.2027763824685
35,35,50,50,0,0,49.8269476625722
90,0,20,50,0,0,53.276220969211
5,0,0,0,0,0,44.1466059917261
70,70,60,10,0,0,58.0159299108225
75,90,99,80,0,0,50.5400612019315
100,100,75,0,1,0,45.550305561762
0,0,50,100,1,0,52.3574414352175
1,75,2,80,1,0,44.8434204670806
90,50,50,25,0,0,50.744446445468
75,50,90,100,1,0,51.7078848927065
75,50,75,50,0,1,49.5347938188723
50,75,50,20,1,1,50.4714694965385
50,50,80,90,0,1,51.5847475894695
75,99,50,50,0,1,50.334681339214
0,50,0,50,1,0,55.570480989045
65,55,69,0,1,0,52.7651472124285
99,100,50,50,1,0,51.9682823847445
80,60,96,98,0,1,48.9797502631328
0,100,100,100,0,1,52.315981423535
100,100,100,100,1,1,49.2207179316743
0,100,0,0,0,1,49.2603719166733
55,50,0,0,1,1,48.6350585555465
90,100,70,80,1,1,36.2805204320124
25,0,0,100,1,1,48.2997844650142
50,0,100,100,1,1,46.422397968622
95,1,0,100,0,1,40.5543268158922
0,100,100,0,1,1,48.3818450671192
75,70,0,0,1,1,43.1845410687647
0,0,0,100,1,1,51.6083970871125
0,50,75,0,0,1,47.628451669738
0,40,0,99,1,1,44.1762988299718
100,99,50,90,0,1,47.1678087647987
100,50,100,100,0,1,54.312583707163
0,90,0,0,1,1,43.7123096300535
0,0,90,10,0,1,52.4736009034405
60,50,50,50,0,1,50.761376817335
67,100,1,0,0,1,48.2526925652257
1,100,9,99,0,1,50.661161242891
0,50,100,100,0,1,49.7407166803815
90,7,100,99,0,1,43.6443636983152
0,0,0,0,0,1,50.594454367769
100,90,100,80,1,1,47.5358265018335
99,50,90,50,1,0,44.1530344363391
0,0,0,0,0,0,52.64378017806
99,95,100,0,1,1,45.8288471083884
50,100,50,50,1,1,48.7007754931704
75,50,0,0,0,1,50.8549395554055
100,100,100,0,1,1,44.4320773584256
50,50,0,0,0,1,50.4909025696685
0,100,50,99,0,1,50.0751333565085
1,0,0,40,0,1,48.6064168805513
90,99,80,99,0,1,53.3090252929315
0,100,100,100,0,0,51.8547789303185
90,50,100,50,0,1,51.8298833795615
99,90,100,100,1,1,53.5790381239175
60,30,50,40,0,1,50.796969869744
0,0,0,100,1,1,47.338130775429
75,97,80,100,0,1,51.396427994932
0,0,60,30,1,0,48.4390431240116
50,90,98,90,0,0,56.734617882402
100,0,100,0,1,0,50.719584998944
75,100,100,100,1,0,49.6550180618182
90,100,90,50,0,0,52.412084002357
100,0,50,100,0,0,46.6340274657781
0,0,0,100,1,0,40.1588190816418
99,100,90,92,1,0,43.4116859965767
0,100,100,100,1,0,49.2017073959027
0,0,100,90,1,0,46.3396005463948
100,0,0,0,0,0,50.934614617145
0,0,10,0,0,0,47.8480645512205
80,75,50,90,0,0,52.410327955687
80,80,90,80,0,0,53.082836592609
0,90,90,90,0,0,50.916319690866
100,100,50,100,1,1,50.754787774295
100,100,100,99,1,1,41.7575721790217
1,62,0,100,0,1,43.3332799052481
0,0,100,0,1,1,31.7151399678011
100,0,0,0,0,1,39.1918316101704
90,60,23,95,0,1,50.568397644377
50,100,90,80,1,0,51.1307060740325
70,98,100,95,1,0,38.3836264367203
50,1,99,95,1,0,51.626217513064
85,100,100,100,0,0,49.6686125703774
75,75,80,90,1,0,44.7621130977671
100,0,0,100,1,1,49.2239193323108
0,0,0,0,0,0,48.2273604564704
100,100,50,50,0,1,39.4829785437871
25,0,100,0,0,1,51.6836586216495
99,0,0,0,0,0,46.7124999654844
100,99,80,99,1,0,50.3578617928415
10,0,0,50,0,1,51.742698365687
0,0,0,100,1,0,53.3355521197575
100,1,50,50,1,0,49.9375591371284
100,100,100,100,1,0,40.7429116072376
88,50,50,50,1,1,50.965727178285
50,90,50,50,1,0,49.930412479933
25,100,90,50,0,1,48.3839317913973
10,100,100,100,1,0,48.232281083394
10,37,0,0,0,0,46.206819545097
25,0,100,0,0,0,40.6390856032116
0,80,0,60,0,0,47.4716122200818
75,50,75,80,0,0,51.132392138842
75,75,0,0,0,0,49.0478237924165
50,100,90,0,0,0,49.3811517952585
90,80,0,99,1,0,44.1382355244054
0,0,0,100,0,0,50.9594492183635
100,100,100,100,0,0,42.4411994321777
50,95,100,85,0,0,47.4623956089381
80,95,100,100,1,0,47.4645922827275
90,100,0,100,1,0,50.190251072216
99,100,100,99,1,0,53.139966730966
100,100,99,96,0,0,49.3246038110707
90,85,75,80,0,0,51.8998319431185
100,50,50,75,0,0,53.109392662166
100,50,100,100,1,1,44.8870948272569
75,99,75,0,0,0,55.1209740149225
100,75,95,90,0,0,51.018667577312
90,100,100,100,1,1,46.0661171080822
50,0,100,0,0,1,50.974633908269
50,25,0,0,1,0,53.293387743454
95,100,100,100,1,0,51.8523294940765
0,0,90,100,1,1,51.4832506436895
75,50,0,50,1,1,45.8742287570846
100,0,75,0,1,1,43.623258441816
50,6,20,10,1,1,42.35200324422
100,75,40,0,0,1,45.4170447635032
90,0,0,70,1,1,50.4786009272175
99,100,100,20,0,1,49.5429541414121
50,0,50,100,1,1,50.097097732358
75,50,1,0,1,1,46.6212680861282
90,0,50,80,0,1,45.1429648781375
0,90,0,0,1,1,51.4545780634925
0,0,0,0,1,1,48.3335466957409
50,100,100,100,0,0,51.105537907844
95,0,0,90,1,0,52.1468648902935
50,99,75,85,0,0,45.3797612610085
75,75,100,100,1,0,49.9182845992058
99,100,100,100,1,0,49.8509259850142
80,0,0,0,1,0,50.167985112925
50,30,50,50,0,0,56.6202968109895
99,100,100,100,1,0,52.26827749159
50,30,75,80,1,0,50.5608452463215
100,100,60,100,0,0,50.1776175106575
25,0,50,75,0,0,51.2221137715775
100,95,99,70,1,0,53.574002120909
100,50,50,50,0,0,40.8712116753169
5,99,60,89,1,1,47.4317851343403
15,30,50,30,0,1,50.8491121636015
100,0,50,75,1,1,46.7494595059934
0,0,0,0,1,1,29.5524574420027
50,0,50,100,1,1,41.2009851201548
100,80,0,0,1,0,52.813376180943
100,50,50,5,1,0,51.0301446234875
0,85,100,0,0,0,54.509567275482
99,100,90,100,1,0,41.7907947355931
85,99,100,85,1,0,46.4916450300738
0,50,100,100,0,0,41.4507559183564
99,100,100,50,0,1,53.6267880232055
0,0,0,0,1,0,48.1388283608177
20,50,50,100,1,0,46.544724813854
100,0,0,0,0,0,49.9679284124097
0,50,45,0,0,0,50.392984844987
100,30,100,50,1,1,50.376583782355
100,100,100,100,1,0,51.168775124456
0,99,100,100,0,1,44.0228701928849
12,50,75,43,0,1,52.0855978485045
45,0,65,75,1,1,52.65365245986
100,100,100,50,0,1,44.2445396685088
100,100,100,50,1,0,45.0393232141282
60,90,90,75,1,0,48.1254839023234
0,0,0,0,1,0,54.169110597192
90,99,65,99,1,1,51.12891266416
100,0,0,100,1,1,49.7211652721689
50,25,88,60,0,1,48.7183640748921
100,0,100,100,1,1,50.339751749633
50,45,50,15,0,0,53.659823341353
95,85,75,30,0,0,51.567181693506
100,0,100,0,1,0,50.810066312917
100,0,100,0,0,0,48.19511581136
50,0,100,0,0,1,51.419947107184
0,0,50,0,0,1,54.6539188018125
85,90,99,100,0,1,49.0721554404245
100,0,100,100,1,0,46.2990298966608
100,100,100,100,0,0,50.683758752532
80,100,75,50,1,0,51.2094906188355
100,50,60,80,0,0,47.9500940643747
85,0,0,0,1,0,47.1804431436159
75,0,100,100,1,0,51.5298887333615
100,0,0,100,1,1,49.7738388227375
99,50,50,50,1,1,45.2653564476546
100,99,90,0,1,0,51.8400974512665
75,70,0,0,1,1,48.0223366706991
100,100,9,0,1,0,38.1215490977053
100,50,100,45,0,0,33.8219671817085
10,0,50,50,0,1,40.2386616103078
90,98,100,95,1,0,45.0422511761899
0,100,100,100,0,0,44.0125498594425
0,0,0,0,1,0,52.6379957877835
100,100,75,80,1,0,50.8843240160635
50,75,45,99,0,0,48.2587022463443
45,90,75,98,0,0,56.172200981236
99,99,82,76,1,0,47.7073598259633
100,70,50,0,0,1,49.7524072944876
100,100,100,100,1,1,53.045722682932
99,100,0,0,1,1,46.2643725779255
99,100,0,100,1,1,51.5399337159915
50,80,80,50,1,1,48.6693711942832
79,0,10,70,0,0,50.719409571732
95,99,100,99,0,1,52.9502395015695
40,30,88,30,0,1,48.7359106999623
25,25,5,5,0,0,44.5340447469386
50,90,80,100,0,0,42.1012470973399
50,40,50,92,0,0,42.9076562663017
75,50,80,50,1,0,50.330671979502
98,100,100,100,1,0,50.068412216664
90,98,98,99,1,1,46.0519771823017
95,90,35,90,1,1,47.9579358901845
0,0,0,100,1,0,49.8314874652717
40,0,100,0,1,0,47.7184181087689
90,50,50,100,1,0,48.4577025964282
50,90,0,80,0,0,45.6313859337272
100,100,100,100,1,0,48.3453984474493
80,0,1,0,1,0,43.9689176713967
75,100,100,90,0,0,46.7850640924892
45,0,40,15,0,0,51.471291112082
95,98,97,80,0,0,47.052637386599
50,100,100,100,1,0,52.0362124133195
0,100,75,50,0,0,53.8795216571325
100,100,100,50,0,0,50.040140435714
0,0,0,0,1,1,51.245386626258
90,0,50,99,1,0,48.9894324740946
100,0,0,0,1,1,51.214184233012
90,50,85,75,0,0,46.9622851289009
40,5,50,10,0,0,51.2141713872585
75,50,99,50,0,0,48.5536219594784
50,100,10,30,0,0,53.2580324463215
50,50,75,70,0,0,52.829141728901
0,0,50,0,0,0,57.650146094489
100,100,100,100,0,0,50.8374815371425
100,99,100,99,1,0,54.9717150234595
25,99,90,75,0,0,53.617458118693
100,0,50,50,1,1,49.8501317184451
